A-JournalCode;B-JournalLib;C-EcritureNum;D-EcritureDate;E-CompteNum;F-CompteLib;G-CompAuxNum;H-CompAuxLib;I-PieceRef;J-PieceDate;H-EcritureLib;K-Debit;L-Credit;M-EcritureLet;N-DateLet;O-ValidDate;P-Montantdevise;Q-Idevise;1-Montant;2-Valeur Absolue;3-Mois;4-Trimestre;5-Semestre;6-Année;7-Racine 1;8-Libellé Racine 1;9-Racine 2;10-Libellé Racine 2;11-Racine 3;12-Libellé Racine 3;13-Racine 4;14-Libellé Racine 4;15-Racine 5;16-Libellé Racine 5;17-Bilan;18-Resultat;19-Report à nouveau;20-Trésorerie;21-Banque;22-Caisse;23-Debit/Crédit;24-Encaissements / Décaissements;25-Dettes;26-Ventes;27-Reconnaissance fournisseur;28-Espèces;29-Investissements;30-;31-;32-;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;40110000;FOURNISSEURS;FRU;FRU ;Non dispo;20230101;Facture FRUITS ET LEGUMES du 01/12/2022;0;126;;19700101;;;;126;126;Err :520;Err :520;Err :520;2023;4;Tiers;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;;Dettes;;;;;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;40110000;FOURNISSEURS;FRU;FRU ;Non dispo;20230101;Facture 20 du 15/12/2022;0;121;5;;19700101;;;;121;5;121;5;Err :520;Err :520;Err :520;2023;4;Tiers;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;;Dettes;;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;40110000;FOURNISSEURS;FRU;FRU ;Non dispo;20230101;Facture 17 du 08/12/2022;0;181;;19700101;;;;181;181;Err :520;Err :520;Err :520;2023;4;Tiers;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;;Dettes;;;;;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;40110000;FOURNISSEURS;FRU;FRU ;Non dispo;20230101;Facture 15 du 03/12/2022;0;133;5;;19700101;;;;133;5;133;5;Err :520;Err :520;Err :520;2023;4;Tiers;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;;Dettes;;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;40110000;FOURNISSEURS;FRU;FRU ;Non dispo;20230101;Facture FRUITS ET LEGUMES;0;167;;19700101;;;;167;167;Err :520;Err :520;Err :520;2023;4;Tiers;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;;Dettes;;;;;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;40110000;FOURNISSEURS;FRU;FRU ;Non dispo;20230101;Facture 16 du 05/12/2022;0;146;;19700101;;;;146;146;Err :520;Err :520;Err :520;2023;4;Tiers;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;;Dettes;;;;;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;40110000;FOURNISSEURS;FRU;FRU ;Non dispo;20230101;Facture 26;0;79;;19700101;;;;79;79;Err :520;Err :520;Err :520;2023;4;Tiers;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;;Dettes;;;;;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;40110000;FOURNISSEURS;FRU;FRU ;Non dispo;20230101;Facture FRUITS ET LEGUMES;0;129;;19700101;;;;129;129;Err :520;Err :520;Err :520;2023;4;Tiers;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;;Dettes;;;;;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;40110000;FOURNISSEURS;FRU;FRU ;Non dispo;20230101;Facture 18;0;139;5;;19700101;;;;139;5;139;5;Err :520;Err :520;Err :520;2023;4;Tiers;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;;Dettes;;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;40110000;FOURNISSEURS;FRU;FRU ;Non dispo;20230101;Facture FRUITS ET LEGUMES du 29/12/2022;0;165;;19700101;;;;165;165;Err :520;Err :520;Err :520;2023;4;Tiers;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;;Dettes;;;;;;;;;;;
